Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Event Type
2025-05-01 16:30:00-04:00,1.63,1.65,1.41,Earnings
2025-02-27 12:00:00-05:00,,,,Meeting
2025-01-30 16:31:00-05:00,2.35,2.4,2.15,Earnings
2024-10-31 16:31:00-04:00,1.6,1.64,2.35,Earnings
2024-08-01 16:30:00-04:00,1.35,1.4,3.99,Earnings
2024-05-02 16:31:00-04:00,1.5,1.53,1.97,Earnings
2024-02-01 16:00:00-05:00,2.1,2.18,3.9,Earnings
2023-11-02 16:30:00-04:00,1.39,1.46,4.92,Earnings
2023-08-03 16:30:00-04:00,1.19,1.26,5.49,Earnings
2023-05-04 16:30:00-04:00,1.43,1.52,6.03,Earnings
2023-02-02 16:30:00-05:00,1.94,1.88,-2.88,Earnings
2022-10-27 16:30:00-04:00,1.27,1.29,1.55,Earnings
